wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
4763.00,1.09741e-17,4.39224e-18,2.20190e-17,4.39224e-18
4763.25,1.49870e-17,4.39205e-18,2.60270e-17,4.39205e-18
4763.50,4.11723e-18,4.39191e-18,1.51532e-17,4.39191e-18
4763.75,4.32797e-18,4.39178e-18,1.53602e-17,4.39178e-18
4764.00,6.35363e-18,4.39164e-18,1.73822e-17,4.39164e-18
4764.25,8.12267e-18,4.39150e-18,1.91475e-17,4.39150e-18
4764.50,1.41724e-17,4.39133e-18,2.51930e-17,4.39133e-18
4764.75,1.03012e-17,4.39112e-18,2.13171e-17,4.39112e-18
4765.00,1.38072e-17,4.39097e-18,2.48193e-17,4.39097e-18
4765.25,1.39641e-17,4.39081e-18,2.49722e-17,4.39081e-18
4765.50,1.21767e-17,4.39065e-18,2.31810e-17,4.39065e-18
4765.75,1.13676e-17,4.39050e-18,2.23682e-17,4.39050e-18
4766.00,1.18642e-17,4.39035e-18,2.28615e-17,4.39035e-18
4766.25,1.22706e-17,4.39042e-18,2.32682e-17,4.39042e-18
4766.50,1.41462e-17,4.39068e-18,2.51471e-17,4.39068e-18
4766.75,1.57355e-17,4.39106e-18,2.67417e-17,4.39106e-18
4767.00,1.59314e-17,4.39153e-18,2.69445e-17,4.39153e-18
4767.25,1.34737e-17,4.39208e-18,2.44951e-17,4.39208e-18
4767.50,1.02468e-17,4.39269e-18,2.12774e-17,4.39269e-18
4767.75,1.14309e-17,4.39321e-18,2.24692e-17,4.39321e-18
4768.00,1.22236e-17,4.39372e-18,2.32696e-17,4.39372e-18
4768.25,1.14106e-17,4.39425e-18,2.24643e-17,4.39425e-18
4768.50,8.63915e-18,4.39477e-18,1.97005e-17,4.39477e-18
4768.75,1.66612e-17,4.39541e-18,2.77321e-17,4.39541e-18
4769.00,1.09411e-17,4.39596e-18,2.20201e-17,4.39596e-18
4769.25,9.45020e-18,4.39650e-18,2.05369e-17,4.39650e-18
4769.50,1.08590e-17,4.39703e-18,2.19535e-17,4.39703e-18
4769.75,1.25264e-17,4.39757e-18,2.36286e-17,4.39757e-18
4770.00,5.87131e-18,4.39816e-18,1.69822e-17,4.39816e-18
4770.25,8.90829e-18,4.39877e-18,2.00282e-17,4.39877e-18
4770.50,1.28086e-17,4.39930e-18,2.39363e-17,4.39930e-18
4770.75,1.35796e-17,4.39983e-18,2.47152e-17,4.39983e-18
4771.00,1.11810e-17,4.40035e-18,2.23243e-17,4.40035e-18
4771.25,6.84869e-18,4.40087e-18,1.79998e-17,4.40087e-18
4771.50,8.99313e-18,4.40150e-18,2.01541e-17,4.40150e-18
4771.75,8.75974e-18,4.40202e-18,1.99286e-17,4.40202e-18
4772.00,1.03681e-17,4.40248e-18,2.15447e-17,4.40248e-18
4772.25,1.13892e-17,4.40273e-18,2.25736e-17,4.40273e-18
